generation,min_loss,min_loss_val,med_loss,med_size,med_complexity,med_num_params,med_dim
42,192.857,251.164,283.602,8,19,4,4
43,192.857,251.164,278.551,10,21,5,5
44,192.857,251.164,283.602,10,21,5,5
45,190.207,249.726,270.806,9,20,4,5
46,190.158,249.729,272.781,8,20,4,5
47,190.141,249.731,270.806,9,20,4,5
48,190.141,249.731,270.806,8,20,4,5
49,190.141,249.731,265.672,10,22,5,5
50,185.021,214.984,264.23,8,20,4,5
51,184.44,221.233,276.324,8,17,3,5
52,181.82,219.003,283.602,8,17,3,5
53,181.819,218.994,287.369,8,15,3,5
54,181.819,218.994,320.458,8,16,3,5
55,181.819,218.994,320.458,8,16,3,5
56,181.819,218.994,320.458,7,15,3,5
57,181.819,218.994,337.892,7,15,3,5
58,181.819,218.994,337.892,8,15,3,5
59,181.819,218.994,320.458,8,19,4,5
60,181.819,218.994,267.145,11,25,5,6
61,181.819,218.994,267.105,11,25,5,6
62,181.819,218.994,262.658,13,28,6,7
63,181.819,218.994,259.155,12,26,5,7
64,181.819,218.994,265.282,10,24,5,6
65,181.819,218.994,314.405,8,15,3,5
66,181.819,218.994,272.632,8,17,3,5
67,181.819,218.994,282.672,9,21,4,6
68,181.819,218.994,263.489,10,24,5,6
69,181.819,218.994,260.235,9,20,4,6
70,181.819,218.994,258.309,10,21,4,6
71,181.403,215.981,262.746,11,25,5,7
72,181.403,215.981,260.084,9,17,3,6
73,181.403,215.981,279.796,9,19,4,6
74,181.403,215.981,268.213,9,21,4,6
75,181.403,215.981,264.302,9,20,4,5
76,181.403,215.981,268.213,10,21,4,6
77,181.403,215.981,263.566,10,24,5,6
78,181.403,215.981,265.154,10,22,4,6
79,181.403,215.981,259.5,11,25,5,7
80,181.403,215.981,260.428,10,24,5,7
81,181.403,215.981,262.746,11,25,5,7
82,181.403,215.981,259.51,12,26,5,7
83,181.403,215.981,254.64,12,26,5,7
84,181.403,215.981,260.682,12,26,5,7
85,181.403,215.981,252.047,12,26,5,7
86,181.403,215.981,252.047,12,26,5,7
87,181.403,215.981,252.047,12,26,5,7
88,181.403,215.981,254.576,13,28,6,7
89,181.403,215.981,252.047,13,28,6,7
90,181.403,215.981,251.523,12,26,5,7
91,181.403,215.981,252.047,12,26,5,7
92,181.403,215.981,255.362,11,25,5,7
93,181.403,215.981,252.72,11,25,5,6
94,181.403,215.981,262.746,11,25,5,6
95,181.403,215.981,252.047,12,26,5,7
96,181.403,215.981,251.948,11,25,5,7
97,181.346,225.653,252.047,11,25,5,7
98,181.346,225.653,252.047,12,26,5,7
99,181.346,225.653,252.047,12,26,5,7
